year,Riyadh_Avg_Temp,10_Year_RiyadhMA,Global_Avg_Temp,10_Year_GlobalMA
1843,24.74,,8.17,
1844,15.45,,7.65,
1845,20.82,,7.85,
1846,,,8.55,
1847,,,8.09,
1848,24.56,,7.98,
1849,24.8,,7.98,
1850,24.34,,7.9,
1851,25.03,,8.18,
1852,24.85,,8.1,
1853,24.93,23.28,8.04,8.04
1854,24.72,23.28,8.21,8.05
1855,24.92,24.33,8.11,8.09
1856,24.57,24.75,8,8.10
1857,24.26,24.70,7.76,8.03
1858,25.01,24.73,8.1,8.03
1859,24.95,24.76,8.25,8.06
1860,24.94,24.77,7.96,8.06
1861,24.13,24.76,7.85,8.05
1862,23.77,24.64,7.56,
1863,24.28,24.59,8.11,
1864,25.03,24.60,7.98,
1865,25.23,24.64,8.18,7.99
1866,24.92,24.64,8.29,8.00
1867,25.22,24.70,8.44,8.04
1868,25,24.77,8.25,8.09
1869,25.3,24.80,8.43,8.12
1870,25.02,24.80,8.2,8.11
1871,24.73,24.78,8.12,8.13
1872,24.87,24.85,8.19,8.16
1873,25.24,24.99,8.35,8.23
1874,24.98,25.05,8.43,8.26
1875,24.43,24.99,7.86,8.25
1876,24.89,24.96,8.08,8.24
1877,25.47,25.01,8.54,8.26
1878,25.51,25.04,8.83,8.30
1879,25.24,25.06,8.17,8.29
1880,24.8,25.02,8.12,8.26
1881,25.63,25.07,8.27,8.27
1882,24.66,25.07,8.13,8.27
1883,25.19,25.09,7.98,8.25
1884,24.8,25.05,7.77,8.20
1885,24.98,25.05,7.92,8.15
1886,24.98,25.10,7.95,8.16
1887,24.81,25.10,7.91,8.14
1888,25.13,25.07,8.09,8.10
1889,25.52,25.07,8.32,8.06
1890,25.07,25.05,7.97,8.04
1891,25.39,25.11,8.02,8.03
1892,25.22,25.07,8.07,8.01
1893,25.19,25.12,8.06,8.01
1894,24.66,25.07,8.16,8.02
1895,24.69,25.06,8.15,8.06
1896,24.88,25.05,8.21,8.08
1897,24.86,25.04,8.29,8.11
1898,24.88,25.04,8.18,8.14
1899,25.12,25.04,8.4,8.17
1900,25.29,25.02,8.5,8.18
1901,25.55,25.07,8.54,8.23
1902,25.25,25.05,8.3,8.26
1903,24.64,25.00,8.22,8.27
1904,25.07,24.99,8.09,8.28
1905,24.87,25.01,8.23,8.28
1906,24.85,25.02,8.38,8.30
1907,24.44,24.98,7.95,8.28
1908,24.95,24.99,8.19,8.27
1909,25.57,25.05,8.18,8.27
1910,24.75,25.02,8.22,8.25
1911,24.24,24.93,8.18,8.23
1912,24.96,24.87,8.17,8.19
1913,24.63,24.82,8.3,8.19
1914,24.94,24.84,8.59,8.23
1915,25.38,24.87,8.59,8.27
1916,24.85,24.87,8.23,8.27
1917,25.03,24.89,8.02,8.24
1918,24.66,24.91,8.13,8.25
1919,25.39,24.95,8.38,8.27
1920,24.94,24.89,8.36,8.29
1921,24.84,24.90,8.57,8.32
1922,25.35,25.00,8.41,8.34
1923,25.1,25.01,8.42,8.36
1924,25.69,25.11,8.51,8.38
1925,25,25.11,8.53,8.38
1926,25.19,25.09,8.73,8.39
1927,25.29,25.13,8.52,8.42
1928,25.39,25.17,8.63,8.47
1929,25.36,25.23,8.24,8.48
1930,25.39,25.23,8.63,8.50
1931,25.38,25.27,8.72,8.54
1932,24.96,25.28,8.71,8.55
1933,24.67,25.22,8.34,8.54
1934,24.97,25.21,8.63,8.56
1935,25.61,25.20,8.52,8.56
1936,25.15,25.21,8.55,8.57
1937,25.08,25.20,8.7,8.56
1938,25.11,25.19,8.86,8.59
1939,25.16,25.17,8.76,8.61
1940,25.51,25.18,8.76,8.65
1941,25.37,25.18,8.77,8.67
1942,25.49,25.19,8.73,8.67
1943,24.96,25.19,8.76,8.67
1944,25.6,25.27,8.85,8.72
1945,25.3,25.30,8.58,8.71
1946,25.49,25.29,8.68,8.73
1947,26,25.37,8.8,8.75
1948,24.85,25.35,8.75,8.75
1949,24.82,25.32,8.59,8.73
1950,24.98,25.31,8.37,8.69
1951,26.1,25.36,8.63,8.68
1952,25.72,25.39,8.64,8.67
1953,25.51,25.39,8.87,8.68
1954,25.8,25.47,8.56,8.67
1955,25.33,25.45,8.63,8.65
1956,25.02,25.42,8.28,8.62
1957,24.69,25.35,8.73,8.62
1958,25.64,25.31,8.77,8.62
1959,24.14,25.25,8.73,8.62
1960,25.67,25.33,8.58,8.62
1961,25.12,25.34,8.8,8.66
1962,26.1,25.34,8.75,8.67
1963,25.54,25.32,8.86,8.69
1964,25.14,25.29,8.41,8.65
1965,25.59,25.27,8.53,8.64
1966,26.16,25.35,8.6,8.64
1967,24.87,25.33,8.7,8.68
1968,25.21,25.38,8.52,8.66
1969,26.05,25.42,8.6,8.64
1970,25.84,25.57,8.7,8.64
1971,24.93,25.50,8.6,8.64
1972,24.74,25.47,8.5,8.62
1973,25.6,25.42,8.95,8.63
1974,25.4,25.41,8.47,8.60
1975,25.04,25.40,8.74,8.63
1976,24.97,25.35,8.35,8.61
1977,25.99,25.33,8.85,8.63
1978,25.95,25.43,8.69,8.63
1979,26.2,25.52,8.73,8.65
1980,25.83,25.50,8.98,8.69
1981,25.95,25.51,9.17,8.73
1982,24.62,25.48,8.64,8.73
1983,24.85,25.49,9.03,8.78
1984,25.05,25.44,8.69,8.76
1985,25.3,25.43,8.66,8.78
1986,25.36,25.46,8.83,8.78
1987,26.37,25.59,8.99,8.84
1988,25.99,25.59,9.2,8.87
1989,25.05,25.51,8.92,8.89
1990,25.7,25.46,9.23,8.94
1991,25.43,25.42,9.18,8.96
1992,24.37,25.28,8.84,8.93
1993,25.42,25.35,8.87,8.95
1994,26.08,25.47,9.04,8.95
1995,25.64,25.52,9.35,9.01
1996,26.28,25.61,9.04,9.04
1997,25.49,25.62,9.2,9.08
1998,26.73,25.65,9.52,9.13
1999,26.92,25.74,9.29,9.13
2000,26.55,25.87,9.2,9.16
2001,26.67,25.96,9.41,9.18
2002,26.44,26.05,9.57,9.21
2003,26.62,26.26,9.53,9.27
2004,26.2,26.33,9.32,9.32
2005,26.27,26.35,9.7,9.38
2006,26.24,26.40,9.53,9.39
2007,26.49,26.42,9.73,9.45
2008,26.21,26.49,9.43,9.48
2009,26.71,26.48,9.51,9.47
2010,27.37,26.52,9.7,9.51
2011,26.4,26.51,9.52,9.54
2012,26.83,26.53,9.51,9.55
2013,27.78,26.65,9.61,9.55
